Gene	Target	IonCode_0101	IonCode_0102	IonCode_0103	IonCode_0104	IonCode_0105	IonCode_0106	IonCode_0107	IonCode_0125	IonCode_0126	IonCode_0127	IonCode_0128	IonCode_0129	IonCode_0130	IonCode_0131	"COSMIC_CGC_FLAG"	"NCBI_NAME"	"HGNC_SYMBOL_ACC"	"MIM_MORBID_DESCRIPTION"	"ENTREZ_GENE_ID"	"U133PLUS2_PSID"
SEC24B-AS1	AMPL37741840	18	15	18	17	28	32	19	31	29	12	11	30	24	27	0	SEC24B_antisense_RNA_1	44003	.	100533182	1569713_at
A1BG	AMPL17425613	0	2	2	0	2	1	1	0	4	0	1	3	1	1	0	alpha-1-B_glycoprotein	5	.	1	229819_at
A1CF	AMPL36593459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	APOBEC1_complementation_factor	24086	.	29974	220951_s_at,241547_at
GGACT	AMPL17367653	1	0	0	2	1	0	2	0	1	3	1	2	1	3	0	gamma-glutamylamine_cyclotransferase	25100	.	87769	232422_at,237869_at
A2M	AMPL1384	1716	2020	2136	1961	567	1672	890	1586	1570	1635	1252	410	1587	895	0	alpha-2-macroglobulin	7	.	2	217757_at
A2ML1	AMPL35942968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	alpha-2-macroglobulin-like_1	23336	.	144568	1553505_at,1564307_a_at
A2MP1	AMPL37631703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	alpha-2-macroglobulin_pseudogene_1	8	.	3	.
A4GALT	AMPL31888788	1	0	1	1	0	0	0	3	0	0	1	0	0	2	0	alpha_1_4-galactosyltransferase	18149	BLOOD_GROUP__P1PK_SYSTEM	53947	.
A4GNT	AMPL32378916	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	alpha-1_4-N-acetylglucosaminyltransferase	17968	.	51146	221131_at
AAAS	AMPL33679306	366	359	380	448	428	498	576	360	348	264	236	376	436	628	0	achalasia__adrenocortical_insufficiency__alacrimia	13666	ACHALASIA-ADDISONIANISM-ALACRIMA_SYNDROME__AAAS	8086	218075_at
AACS	AMPL36995895	127	144	146	163	190	138	184	122	133	77	85	179	112	159	0	acetoacetyl-CoA_synthetase	21298	.	65985	218434_s_at
AADAC	AMPL5825582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	arylacetamide_deacetylase	17	.	13	205969_at
AADACL2	AMPL22311173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	arylacetamide_deacetylase-like_2	24427	.	344752	240420_at
AADACL3	AMPL4449457	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	arylacetamide_deacetylase-like_3	32037	.	126767	.
AADACL4	AMPL612401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	arylacetamide_deacetylase-like_4	32038	.	343066	.
AADAT	AMPL32613953	171	202	170	211	215	199	351	183	167	90	113	178	153	357	0	aminoadipate_aminotransferase	17929	.	51166	223593_at
AAGAB	AMPL14432082	469	510	484	555	553	620	693	541	459	280	306	461	578	775	0	alpha-_and_gamma-adaptin_binding_protein	25662	KERATODERMA__PALMOPLANTAR__PUNCTATE_TYPE_IA__PPKP1A	79719	202851_at,202852_s_at
AAK1	AMPL25904291	9	14	5	7	9	9	8	7	3	4	8	7	8	17	0	AP2_associated_kinase_1	19679	.	22848	205434_s_at,205435_s_at,211186_s_at,214956_at,214998_at,238100_at
AAMP	AMPL3466806	446	467	394	508	431	532	538	535	386	344	271	379	453	553	0	angio-associated__migratory_cell_protein	18	.	14	201511_at
AANAT	AMPL3275619	0	0	1	0	1	1	0	2	0	0	0	0	0	1	0	aralkylamine_N-acetyltransferase	19	DELAYED_SLEEP_PHASE_SYNDROME__SUSCEPTIBILITY_TO__DSPS	15	207225_at
AARS	AMPL10784042	838	894	1007	969	712	1109	1285	879	841	564	607	741	1029	1247	0	alanyl-tRNA_synthetase	20	CHARCOT-MARIE-TOOTH_DISEASE__AXONAL__TYPE_2N__CMT2N	16	201000_at
AARS2	AMPL31469233	160	157	139	153	174	170	197	167	167	139	84	146	122	184	0	alanyl-tRNA_synthetase_2__mitochondrial	21022	COMBINED_OXIDATIVE_PHOSPHORYLATION_DEFICIENCY_8__COXPD8	57505	230024_at,231845_at
PTGES3L-AARSD1	AMPL4663429	4	4	7	6	6	6	6	5	3	4	3	9	3	3	0	PTGES3L-AARSD1_readthrough	43946	.	100885848,100885850	222064_s_at
AASDH	AMPL21447136	5	13	6	11	11	9	11	9	3	8	6	7	8	18	0	aminoadipate-semialdehyde_dehydrogenase	23993	.	132949	228041_at,235435_at
AASDHPPT	AMPL25092600	678	686	688	741	612	750	887	648	601	381	352	610	682	864	0	aminoadipate-semialdehyde_dehydrogenase-phosphopantetheinyl_transferase	14235	.	60496	202169_s_at,202170_s_at
AASS	AMPL29326360	17	23	22	22	31	22	24	23	26	12	14	28	33	25	0	aminoadipate-semialdehyde_synthase	17366	HYPERLYSINEMIA	10157	210852_s_at,214829_at
AATF	AMPL12558335	470	492	472	584	509	580	861	491	433	263	331	397	503	1029	0	apoptosis_antagonizing_transcription_factor	19235	.	26574	209165_at
AATK	AMPL5542914	18	32	26	31	75	39	35	29	26	16	11	37	42	27	0	apoptosis-associated_tyrosine_kinase	21	.	9625	205986_at
ABAT	AMPL33853761	243	289	185	179	704	341	316	216	234	137	68	527	345	362	0	4-aminobutyrate_aminotransferase	23	GABA-TRANSAMINASE_DEFICIENCY	18	206527_at,209459_s_at,209460_at
